序号	文件名	环ID	节点	路由耗时(ns)
1	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	4917
2	QmSoLuCB7xeFD5vf8pYnzoBhRFfnnM41nPy4zBnSqmjH7J	ring3	node31	858
3	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	532
4	QmVjnHtfw3jnYJnFPjGk9b5FBcaPA6HHcHEpRdHE3Ks1P6	ring2	node14	845
5	QmP1T9YjEDqCtYAWUtujPQjpcUZQiSXH9huC9V284Dfe1y	ring3	node31	587
6	QmRt6eR2LCxabPnCBzpr8Z4RnfQgukDZuLFcxLCsmJtTtE	ring3	node31	574
7	QmQFuNPHWeYL2D66wtwNXEJ8hpcdsJiQi8SF2ef6DQiGCo	ring2	node26	527
8	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	825
9	QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq	ring1	node1	505
10	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	546
11	QmNxMq1Rw8dxijMqQNNQvtk7wZc5putFTnYfM7kVoNfs7u	ring1	node9	485
12	QmSoLuCB7xeFD5vf8pYnzoBhRFfnnM41nPy4zBnSqmjH7J	ring3	node31	551
13	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	544
14	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	403
15	QmQN9HhFTFBFz9vv9oC2ki1dcSAfvE8QRDmf6G6i9oMmd9	ring0	node32	985
16	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	486
17	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	450
18	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	512
19	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	468
20	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	527
21	QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq	ring1	node1	369
22	QmVVufsquQXMUEff2rucq7seeqjS5Ef4ZGp2p2sYv4v1L6	ring0	node12	453
23	QmStpNHAf86AS6xzhUpoLzdCWu6NCaujSvhaTsxkU2b9Zy	ring1	node5	419
24	QmQZHd1RB2kJgtz6AjEUxbpL11Ub58ueKVmpJg8kpMpxkB	ring0	node4	740
25	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	1217
26	QmU5MdhB8gBBsD248oExTBDq5QWWZ7aBZufNbqfmwVRFX2	ring1	node33	585
27	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	663
28	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	506
29	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	378
30	QmSoLuCB7xeFD5vf8pYnzoBhRFfnnM41nPy4zBnSqmjH7J	ring3	node31	551
31	QmYvyxWStnzEEftb2mMjz1FYGtqypJ2pJ5R2oJsQTWSTEz	ring2	node2	624
32	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	707
33	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	467
34	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	760
35	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	540
36	QmXiHxZK9vQDLehVLUsoNirXmUox6DUVPsfmGv4ZfP9Pfp	ring0	node12	789
37	QmQabzdQzZiAUzG8Emyx1JrNEUKn3uiqyYBZh37Rqq2pnR	ring3	node7	469
38	QmdRnETqcaNQBQL94zycG3GsApyUSpUUhk9LkXTo8M9MFb	ring3	node31	468
39	QmSoLuCB7xeFD5vf8pYnzoBhRFfnnM41nPy4zBnSqmjH7J	ring3	node31	403
40	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	704
41	QmUVcqBYntKcD3hnkG5xyHjAfTNtRCoboiQJWoFjxGF6NR	ring1	node5	542
42	QmVKZYfcfbtjszUtpE3qEHgXh8DRi8bdyjambXt69n7Cvw	ring0	node36	449
43	QmZtrtckm1AFQVZMatmZArwUrGjNCpY98DXFwevsHb7sUF	ring1	node13	518
44	QmQabzdQzZiAUzG8Emyx1JrNEUKn3uiqyYBZh37Rqq2pnR	ring3	node7	614
45	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	399
46	QmeTUyi9aN7iwdodY4mi4yKHEKYWbd3bG1FdagQhhKa2he	ring0	node4	4829
47	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	575
48	Qmd6Lc81Gm4S6rJvMHXoJVjRMorBpSrFR3n7D2bhefG9hu	ring1	node17	752
49	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	443
50	QmSoLuCB7xeFD5vf8pYnzoBhRFfnnM41nPy4zBnSqmjH7J	ring3	node31	474
51	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	443
52	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	423
53	QmVmX3QXSLNRkhnZgaEitXmAY4ka83rKQTbv8hYCrsW2YC	ring2	node38	519
54	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	492
55	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	418
56	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	599
57	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	413
58	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	451
59	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	386
60	QmP1T9YjEDqCtYAWUtujPQjpcUZQiSXH9huC9V284Dfe1y	ring3	node31	423
61	QmdeKRpnShPBuYMgbmE6jSySBgEW9TUjithXKxcoxCHxPZ	ring2	node30	559
62	QmR3PrcxShE1UbDc6eCchrdwfeVMGVCPBsht9hF3FZxxPe	ring0	node4	1498
63	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	771
64	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	592
65	QmVudev5LRE3wFwVLYg43zqYoDJi2x3sB1pNUAtJZP6YjW	ring0	node8	569
66	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	641
67	QmVGBb9S18SdihpSiEUocEztuVeCiY25hNhAJxCTQSfrL3	ring3	node15	607
68	Qmejo64Mv21gudWHW7zEDW5YEgkCk4hdZY5jgEMrqwFn9c	ring2	node10	660
69	QmQFuNPHWeYL2D66wtwNXEJ8hpcdsJiQi8SF2ef6DQiGCo	ring2	node26	692
70	QmSDPE1wcxBD8i9sBpALjE2pkuyqb9pvPM2bu66ERuH4zq	ring2	node14	589
71	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	568
72	QmTx1dYy3tDinVpYX63az4HfJmLab9XE5bRN2Kczv66bTx	ring3	node35	577
73	QmRECqRurhc4oh1h9rYSD5hMKkAF34kwV3kzAg6RL6SXJ7	ring2	node10	610
74	Qmc1tzxocMkAFvfdr4jpUcvuhj4H8ee75sow1bRyFTpeR6	ring0	node20	607
75	QmbyTRWiKfba2WdZc59iSU4SoqxkhQHARpy6tViHnMMotv	ring3	node19	597
76	QmVVufsquQXMUEff2rucq7seeqjS5Ef4ZGp2p2sYv4v1L6	ring0	node12	576
77	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	664
78	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	555
79	QmfGvH3HQBgMoAQkhr8expSzR3AwcLLBebbDMvwpVNyyoJ	ring2	node18	622
80	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	490
81	QmcZZFjThMzRKqV8Tp3W3pwKcJBsUzPJtePhfs5rmZZYZ7	ring2	node10	625
82	QmSEosra1k99PvfNViBb551jTmFBLqoLm2dTmLmthw5mBr	ring3	node39	602
83	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	616
84	QmQfG7NBwWVDVbzfcWtReLRXiDALJCwCLxM8XyrDL8jXQc	ring0	node12	553
85	QmcZZFjThMzRKqV8Tp3W3pwKcJBsUzPJtePhfs5rmZZYZ7	ring2	node10	521
86	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	546
87	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	582
88	QmfBi1VYx53ZJJ5yrsUg38SDPo9YUeUXAX9m5SggxLtoqz	ring0	node4	3269
89	QmP11Ne2z9sVgokdg5Zs8EpZKBosXAK2WwnQ1AP1nf11wB	ring1	node1	614
90	QmQfG7NBwWVDVbzfcWtReLRXiDALJCwCLxM8XyrDL8jXQc	ring0	node12	509
91	QmQfG7NBwWVDVbzfcWtReLRXiDALJCwCLxM8XyrDL8jXQc	ring0	node12	486
92	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	493
93	Qmc1tzxocMkAFvfdr4jpUcvuhj4H8ee75sow1bRyFTpeR6	ring0	node20	554
94	QmU5MdhB8gBBsD248oExTBDq5QWWZ7aBZufNbqfmwVRFX2	ring1	node33	591
95	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	642
96	QmXLBn7d5VzNV4uWaBa72QwxngabsD9JMgk6mHiWbbTB6B	ring3	node31	637
97	QmQFuNPHWeYL2D66wtwNXEJ8hpcdsJiQi8SF2ef6DQiGCo	ring2	node26	505
98	QmQZHd1RB2kJgtz6AjEUxbpL11Ub58ueKVmpJg8kpMpxkB	ring0	node4	519
99	Qme8V3HufkkPo5aWRDqXw8xz2XDS7cwbkib3dKmrbEPe1e	ring1	node29	552
100	QmddaQS5pWU6yS8Cr5LFB6we9UUVpNEm4cg4B359F1XY3A	ring0	node32	550
101	QmP1T9YjEDqCtYAWUtujPQjpcUZQiSXH9huC9V284Dfe1y	ring3	node31	598
102	QmVGBb9S18SdihpSiEUocEztuVeCiY25hNhAJxCTQSfrL3	ring3	node15	508
103	QmPbF9ShqywKQEFkJtTW1BRWjsZmrAPXLsvApg8VApMHg7	ring2	node14	705
104	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	558
105	QmYvyxWStnzEEftb2mMjz1FYGtqypJ2pJ5R2oJsQTWSTEz	ring2	node2	561
106	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	490
107	QmZpA62faJEQjPe7Urquo34myHoa6dUc5GEwcZwdAmeNfN	ring3	node31	546
108	QmP11Ne2z9sVgokdg5Zs8EpZKBosXAK2WwnQ1AP1nf11wB	ring1	node1	481
109	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	560
110	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	493
111	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	499
112	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	539
113	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	548
114	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	682
115	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	555
116	QmdaaNwxQSsucVBEXq2xoVTXxM9Uno6xeXUvsq8EW37R1D	ring3	node35	712
117	QmddaQS5pWU6yS8Cr5LFB6we9UUVpNEm4cg4B359F1XY3A	ring0	node32	497
118	QmePERuSk6kmLPBknRgSH9NitZLXqQSWQ3yLZzhuhqPTpy	ring1	node13	563
119	QmevD6pYWEqF6ezR7Go8aW75TAFbK9UzfR7mAb56xXeua5	ring0	node36	602
120	QmUUJX97jQ8hntmGG6CiB71Vi9DCgwGPogQrpF5tybTRqx	ring0	node20	504
121	QmPbF9ShqywKQEFkJtTW1BRWjsZmrAPXLsvApg8VApMHg7	ring2	node14	653
122	QmXoypizjW3WknFiJnKLwHCnL72vedxjQkDDP1mXWo6uco	ring2	node2	551
123	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	1542
124	QmXiHxZK9vQDLehVLUsoNirXmUox6DUVPsfmGv4ZfP9Pfp	ring0	node12	610
125	QmWGaAgHh2TWdKittHeR5XNJjDTdUzfrUhGkdhkJ5TGN4b	ring1	node21	593
